Rank,Word,Frequency,English Gloss,Proposed Tone,Verified Tone,Genesis Context
467,họhọ,6,similar,họhọ,họhọ,"Etiyin Jekọp da ga ẹga ikpe ighwrẹ fiki ri Rachel, e da họhọ ẹdẹ tutuno vwọ kẹ kidie o jere gangan."
468,ono,6,who (sing.),óno,óno,"Me da nọ nẹ, Wẹ ọmọtẹ rẹ ono? Ọ da ta, Ọmọtẹ ri Bẹtuẹl, ọmọ ri Nahọr ri Milka vwiẹ kẹ. Kọye mi de ku isa na phihọ abọ."
469,ọkpako,6,Older  person  ;  More  elderly,Ọkpako,Ọkpako,"Jekọp da ta, Gba shẹ ọkpako wẹn kẹ vwẹ tavwe."
470,kuo,6,Pour,Kuo,Kuo,"Etiyin Rebeka da reyọ ewu rẹ Isọ rẹ ọmọkpako rọye na, rọ evun rẹ uwevwi jovwo, o de kuo phihọ Jekọp rẹ omotete na,"
471,ohọre,6,neck,ohọre,ohọre,"ọ da reyọ, ophiẹn rẹ ẹmẹvwe na vwọ phare abọ vẹ edigbo ohọre rọye;"
472,dinah,6,,,,"Ukuko rọye o de vwiẹ ọmọtẹ, o de se odẹ rọye Dinah."
473,churu,6,,,,"Jekọp de ji ikọ re se Rachel vi Leah rhe obo ẹghwa ro de churu eranvwe na,"
474,irhiẹ,6,,,,"igodẹ na de vwiẹ vwẹ obaro rẹ oghọ rẹ urhé ro keri ipe na, ẹvo de vwiẹ iri vẹ ipe efuanfon, ẹvo vẹ irhiẹ efa ibiebi."
475,ere,6,kind of mat,eré,eré,"ẹkẹvuọvo ere pha mwẹmwẹ re herọ o de mu ayen san, ere mwẹmwẹ na ke rẹ Laban, ere gangan ri chekọ ki ri Jekọp."
476,wene,6,"change, transfer",wene,wene,yẹ ẹkẹvuọvo ọsẹ wẹn ghwá vwẹ re o de wene osa mẹ asiehwe; yẹ Ọghẹnẹ rhọvwere nẹ ọwavwẹ oma-a.
477,ẹko,6,group,ẹko,ẹko,"Oshọ de mu Jekọp oma de ron, ọ da ghare ihwo ri rhere, te uchuru na te iyesi na, ẹko ivẹ,"
478,igberadja,6,prostitute / Prostitute,igberadja,igberadja,"Ẹkẹvuọvo ayen da ta, Die nẹrhẹ o ru oniọvo rẹ avwanre kiri igberadja?"
479,zibeọn,6,,,,"Enana emọ rẹ Oholibamah ọmọtẹ rẹ Anah rẹ ọmọ ri Zibeọn, aye rẹ Isọ: o de vwiẹ Jeush, Jalam kugbe Korah kẹ Isọ."
480,tubie,6,,,,Irhuẹn re dọndọn grosi na de mu iride tubie tubie na rọ. Fero de gbunie rhọvwọ.
481,eduru,6,,,,"Mi rhe vwo ni, eduru rẹ eka ighwrẹ re vwara ẹbe gẹngẹn rẹ odju bẹre de rhe mu kpahe erẹ ẹsosuọ na."
482,va,5,Shout  loud,Va,Va,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
483,oragha,5,,,,oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.
484,ruo,5,Do  it,Ruo,Ruo,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
485,kubit,5,,,,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
486,tete,5,,,,"Eránvwe ri tete omá, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,"
487,kọphra,5,,,,
488,ẹtorhẹ,5,,,,
489,shevwerhẹ,5,,,,"ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba."
490,bruba,5,,,,"Ọ da je ta, Ọrovwohwo rẹ Ọghẹnẹ mẹ bruba kẹ Shẹm, gbe ji Kenan dia ọviẹn rọye."
491,shelah,5,,,,Ọke rẹ Arpakshad vwọ dia ikpe ọgban gbẹ iyórĩ re ọ da rhe dia ọ́sẹ ri Shelah;
492,ẹga,5,barren / Barren ; Childless  person,ẹga,ẹga,"Serai kẹ ẹga, o vwiẹ ọ́mọ-ọ."
493,rho,5,Pre-cook ; Not totally  done ; Preservative,Rho,Rho,"Ki mi ru we vwọ dia ẹgborho buebu, ki mi bruphihọ kẹ wẹ, ki mi ru odẹ wẹn rho, eriyin na ku wọ dia ebruphihọ."
494,rhere,5,,,,"Oshọ de mu Jekọp oma de ron, ọ da ghare ihwo ri rhere, te uchuru na te iyesi na, ẹko ivẹ,"
495,nẹgẹb,5,,,,Ebram da rhoma mu oyan họ ọ da garo vi obi Nẹgẹb.
496,eyere,5,,,,"ọtiọye na otọ na gbe gba aye-en, kidie ayen vwo eyere buebu, ayen gbe sa dia kugbe-e,"
497,hebrọn,5,,,,"Ebram da ghwiẹ utughẹ rọye, ọ da rhe dia kẹrẹ ọhahe ri Mamre, rọ kẹrẹ Hebrọn, kẹ Etiyin ọ da so agbada kẹ Ọrovwohwo."
498,bẹla,5,,,,"Bẹla rẹ ọmọ ri Beor da re vwẹ Idọm, odẹ rẹ orere rọ da re ki Dinhabath."
499,ghare,5,Expensive,Ghare,Ghare,"Oshọ de mu Jekọp oma de ron, ọ da ghare ihwo ri rhere, te uchuru na te iyesi na, ẹko ivẹ,"
500,bẹrẹ,5,tear,bẹrẹ́,bẹrẹ́,"Jekọp da bẹrẹ iwun rọye, ọ da vwẹ emwa rẹ uvweri rhuo, o de muomahọ kẹ ọmọ rọye ẹdẹ buebu."
